device_codename,brand,Retail Branding,Marketing Name,Device,oem,model,network_technology,network_2g_bands,network_gprs,network_edge,launch_announced,launch_status,body_dimensions,body_weight,body_sim,display_type,display_size,display_resolution,display,memory_card_slot,memory_phonebook,memory_call_records,sound_loudspeaker,sound_alert_types,sound_3.5mm_jack,comms_wlan,comms_bluetooth,comms_gps,comms_radio,comms_usb,features_sensors,features_messaging,features_browser,features_clock,features_alarm,features_games,features_java,features,misc_colors,network_3g_bands,network_speed,platform_os,platform_chipset,platform_cpu,platform_gpu,memory_internal,main_camera_single,main_camera_video,misc_price,main_camera_features,body,network_4g_bands,body_build,display_protection,memory,main_camera_dual,selfie_camera_dual,selfie_camera_features,selfie_camera_video,comms_nfc,battery_charging,misc_models,tests_performance,tests_camera,tests_loudspeaker,tests_audio_quality,tests_battery_life,tests_display,selfie_camera_single,comms_infrared_port,network_5g_bands,main_camera_quad,main_camera_triple,sound,misc_sar_eu,main_camera_five,features_languages,body_keyboard,misc_sar,battery,main_camera_dual_or_triple,battery_music_play,selfie_camera_triple,main_camera_v1,selfie_camera,camera,main_camera,network,battery_talk_time,battery_stand.by
a9xproltechn,samsung,Samsung,Galaxy A9 Pro (2016),a9xproltechn,Samsung,Galaxy A9 Pro (2016),GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),Yes,Yes,"2016, March","Available. Released 2016, May",161.7 x 80.9 x 7.9 mm (6.37 x 3.19 x 0.31 in),210 g (7.41 oz),"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)","Super AMOLED capacitive touchscreen, 16M colors","6.0 inches, 99.2 cm (~75.9% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~367 ppi density)",,"microSD, up to 256 GB (dedicated slot)",,,Yes,,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, WiFi Direct, hotspot","4.2, A2DP, EDR, LE","Yes, with A-GPS, GLONASS/ BDS (market dependant)","FM radio, RDS, recording",microUSB 2.0,"Fingerprint (front-mounted), accelerometer, proximity, compass",,,,,,,ANT+,"White, Black, Gold",HSDPA 850 / 900 / 1900 / 2100,"HSPA 42.2/5.76 Mbps, LTE-A (3CA) Cat6 300/50 Mbps","Android 6.0.1 (Marshmallow), upgradable to Android 8.0 (Oreo); Experience UI 9",Qualcomm MSM8976 Snapdragon 652 (28 nm),Octa-core (4x1.8 GHz Cortex-A72 & 4x1.4 GHz Cortex-A53),Adreno 510,"32 GB, 4 GB RAM","16 MP, f/1.9, 1/2.8"", OIS, AF",1080p@30fps,About 300 EUR,"LED flash, panorama, HDR","Samsung Pay (Visa, MasterCard certified)","LTE band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 40(2300)","Front/back glass (Gorilla Glass 4), aluminum frame",Corning Gorilla Glass 4,,,,,1080p@30fps,Yes,Fast battery charging 18W,"SM-A9100, SM-A910F, SM-A910F",,,,,,,"8 MP, f/1.9",,,,,Active noise cancellation with dedicated mic,0.62 W/kg (head)     1.32 W/kg (body)    ,,,,,Non-removable Li-Ion 5000 mAh battery,,Up to 109 h,,,,,,"LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 17(700), 28(700), 38(2600), 40(2300) -A910F/DS",Up to 33 h (3G),
MIX_2,ulefone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bullhead,google,LG,Nexus 5X,bullhead,LG,Nexus 5X,GSM / CDMA / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - all models,Class 12,Class 12,"2015, September","Available. Released 2015, October",147 x 72.6 x 7.9 mm (5.79 x 2.86 x 0.31 in),136 g (4.80 oz),Nano-SIM,"IPS LCD capacitive touchscreen, 16M colors","5.2 inches, 74.9 cm (~70.2% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~423 ppi density)",,No,,,Yes,,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, DLNA, hotspot","4.2, A2DP","Yes, with A-GPS, GLONASS",No,"2.0, Type-C 1.0 reversible connector","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass, barometer",,,,,,,,"Carbon, Quartz, Ice",HSDPA 850 / 900 / 1700 / 1900 / 2100 - American model,"HSPA 42.2/5.76 Mbps, LTE-A Cat6 300/50 Mbps","Android 6.0 (Marshmallow), upgradable to Android 8.0 (Oreo)",Qualcomm MSM8992 Snapdragon 808 (20 nm),Hexa-core (4x1.4 GHz Cortex-A53 & 2x1.8 GHz Cortex-A57),Adreno 418,"16/32 GB, 2 GB RAM","12.3 MP, f/2.0, 26mm (wide), 1/2.3"", 1.55µm, laser AF","2160p@30fps, 1080p@30fps, 720p@120fps, HDR",About 270 EUR,"Dual-LED dual-tone flash, HDR, panorama",,"LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 12(700), 13(700), 17(700), 20(800), 25(1900), 26(850), 29(700) - American model",Plastic body,"Corning Gorilla Glass 3, oleophobic coating",,,,HDR,1080p@30fps,Yes,,"Nexus 5X, H791",Basemark OS II 2.0: 1591 / Basemark X: 16609,Photo / Video,Voice 61dB / Noise 65dB / Ring 61dB,Noise -92.2dB / Crosstalk -90.9dB,Endurance rating 60h,"Contrast ratio: 1542 (nominal),  3.092 (sunlight)","5 MP, f/2.0, 1/4"", 1.4µm",,,,,Active noise cancellation with dedicated mic,,,,,,Non-removable Li-Po 2700 mAh battery,,,,,,,,"LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 9(1800), 17(700), 18(800), 19(800), 20(800), 26(850), 28(700), 38(2600), 40(2300), 41(2500) - Global model",,
MIX,DOOGEE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
htc_himawhl,htc,HTC,One M9,htc_himawhl,HTC,One M9,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,Yes,Yes,"2015, March","Available. Released 2015, March",144.6 x 69.7 x 9.6 mm (5.69 x 2.74 x 0.38 in),157 g (5.54 oz),Nano-SIM,"Super LCD3 capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm (~68.4% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~441 ppi density)",,"microSD, up to 256 GB (dedicated slot)",,,"Yes, with stereo speakers",,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, DLNA, hotspot","4.1, A2DP, aptX","Yes, with A-GPS, GLONASS","Stereo FM radio, RDS","microUSB 2.0 (MHL 3.0 TV-out), USB Host","Accelerometer, gyro, proximity, compass",,,,,,,,"Gunmetal Gray, Amber Gold, Silver/Rose gold, Gold/Pink, Pink",HSDPA 850 / 900 / 1900 / 2100,"HSPA 42.2/21.1 Mbps, LTE-A Cat6 300/50 Mbps","Android 5.0 (Lollipop), upgradable to 7.0 (Nougat); Sense UI 7",Qualcomm MSM8994 Snapdragon 810 (20 nm),Octa-core (4x1.5 GHz Cortex-A53 & 4x2.0 GHz Cortex-A57),Adreno 430,"32 GB, 3 GB RAM","20 MP, f/2.2, 28mm (wide), 1/2.4"", 1.2µm, AF","2160p@30fps, 1080p@60fps, 720p@120fps, HDR, stereo sound rec.",About 360 EUR,"Dual-LED dual-tone flash, HDR, panorama",,"LTE band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 20(800), 28(700), 38(2600), 40(2300), 41(2500)",Aluminum body,Corning Gorilla Glass 3,,,,HDR,1080p@30fps,Yes,Fast battery charging 18W (Quick Charge 2.0),"One M9, M9u",Basemark OS II: 1526 / Basemark OS II 2.0: 1365Basemark X: 19848,Photo / Video,Voice 65dB / Noise 64dB / Ring 76dB,Noise -94.8dB / Crosstalk -93.7dB,Endurance rating 62h,"Contrast ratio: 1221:1 (nominal), 2.334 (sunlight)","4 MP, f/2.0, 27mm (wide), 1/3"", 2µm",Yes,,,,24-bit/192kHz audio  Active noise cancellation with dedicated mic,,,,,,Non-removable Li-Po 2840 mAh battery,,,,,,,,,Up to 25 h 20 min (2G) / Up to 21 h 50 min (3G),Up to 391 h (2G) / Up to 402 h (3G)
M1,MEIIGOO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SO-04F,docomo,Sony,Xperia Z2,SO-04F,Sony,Xperia Z2,GSM / HSPA / LTE,"GSM 850 / 900 / 1800 / 1900 - D6502, D6503, D6543",Up to 107 kbps,Up to 296 kbps,"2014, February","Available. Released 2014, April",146.8 x 73.3 x 8.2 mm (5.78 x 2.89 x 0.32 in),163 g (5.75 oz),Micro-SIM,"IPS LCD capacitive touchscreen, 16M colors","5.2 inches, 74.5 cm (~69.3% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~424 ppi density)",Triluminos display  X-Reality Engine,"microSD, up to 256 GB (dedicated slot)",,,"Yes, with stereo speakers",,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, DLNA, hotspot","4.0, A2DP, aptX","Yes, with A-GPS, GLONASS","FM radio, RDS","microUSB 2.0 (MHL TV-out), USB Host; magnetic connector","Accelerometer, gyro, proximity, compass, barometer",,,,,,,ANT+,"Black, White, Purple (D6502, D6503) / Black, White (D6543)","HSDPA 850 / 900 / 1700 / 1900 / 2100 - D6502, D6503, D6543","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","Android 4.4.2 (KitKat), upgradable to 6.0 (Marshmallow)",Qualcomm MSM8974AB Snapdragon 801 (28 nm),Quad-core 2.3 GHz Krait 400,Adreno 330,"16 GB, 3 GB RAM","20.7 MP, f/2.0, 1/2.3"", 1.12µm, AF","2160p@30fps, 1080p@60fps, 720p@120fps, HDR",About 260 EUR,"LED flash, HDR, panorama",IP58 dust proof and water resistant over 1.5 meter and 30 minutes,"LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 13(700), 17(700), 20(800) - D6503","Front/back glass, aluminum frame",Shatter proof glass,,,,,1080p@30fps,Yes,Fast battery charging 18W (Quick Charge 2.0) - Japan only,"D6503, D6502, SO-03F",Basemark OS II: 1080,Photo / Video,Voice 66dB / Noise 64dB / Ring 75dB,Noise -88.2dB / Crosstalk -88.9dB,Endurance rating 89h,"Contrast ratio: 1195 (nominal), 1.944 (sunlight)",2.2 MP,,,,,Active noise cancellation with dedicated mic,0.38 W/kg (head)    ,,,,1.34 W/kg (head)     0.82 W/kg (body)    ,Non-removable Li-Ion 3200 mAh battery,,Up to 120 h,,,,,,"LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900) - D6543",Up to 15 h (2G) / Up to 19 h (3G),Up to 690 h (2G) / Up to 740 h (3G)
M23s,Himax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hct6735m_35gu_m0,Blackview,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
heroqltespr,samsung,Samsung,Galaxy S7,heroqltespr,Samsung,Galaxy S7,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 - G930FD,Yes,Yes,"2016, February","Available. Released 2016, March",142.4 x 69.6 x 7.9 mm (5.61 x 2.74 x 0.31 in),152 g (5.36 oz),"Single SIM (Nano-SIM) - G930FHybrid Dual SIM (Nano-SIM, dual stand-by) - G930FD","Super AMOLED capacitive touchscreen, 16M colors","5.1 inches, 71.5 cm (~72.1% screen-to-body ratio)","1440 x 2560 pixels, 16:9 ratio (~577 ppi density)",Always-on display,"microSD, up to 256 GB (uses shared SIM slot) - dual SIM model only",,,Yes,,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","4.2, A2DP, LE, aptX","Yes, with A-GPS, GLONASS, BDS",No,"microUSB 2.0, USB Host","Fingerprint (front-mounted), accelerometer, gyro, proximity, compass, barometer, heart rate, SpO2",,,,,,,ANT+  S-Voice natural language commands and dictation,"Black, White, Gold, Silver, Pink Gold","HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 - G930F, G930FD, G930W8","HSPA 42.2/5.76 Mbps, LTE-A (3CA) Cat9 450/50 Mbps","Android 6.0 (Marshmallow), upgradable to Android 8.0 (Oreo); TouchWiz UI",Exynos 8890 Octa (14 nm),Octa-core (4x2.3 GHz Mongoose & 4x1.6 GHz Cortex-A53),Mali-T880 MP12,"32/64 GB, 4 GB RAM","12 MP, f/1.7, 26mm (wide), 1/2.55"", 1.4µm, Dual Pixel PDAF, OIS","2160p@30fps, 1080p@60fps, 720p@240fps, HDR, dual-video rec.",About 290 EUR,"LED flash, auto-HDR, panorama","Samsung Pay (Visa, MasterCard certified)  IP68 dust/water proof (up to 1.5m for 30 mins)","LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 12(700), 13(700), 17(700), 18(800), 19(800), 20(800), 25(1900), 26(850), 28(700), 38(2600), 39(1900), 40(2300), 41(2500) - G930F, G930FD","Front/back glass (Gorilla Glass 4), aluminum frame",Corning Gorilla Glass 4,,,,"Dual video call, Auto-HDR",1440p,Yes,Fast battery charging 15W (Quick Charge 2.0)  Qi/PMA wireless charging (market dependent),"SM-G930F, SM-G930A, SM-G930P, SM-G930V, SM-G930T, SM-G930R, SM-G930F, SM-G930FD, SM-G930W8, SM-G930S, SM-G930L",Basemark OS II: 2004 / Basemark OS II 2.0: 2128Basemark X: 32345,Photo / Video,Voice 69dB / Noise 69dB / Ring 71dB,Noise -92.5dB / Crosstalk -92.7dB,Endurance rating 80h,"Contrast ratio: Infinite (nominal), 4.376 (sunlight)","5 MP, f/1.7, 22mm (wide), 1/4.1"", 1.34µm",,,,,24-bit/192kHz audio  Active noise cancellation with dedicated mic,0.41 W/kg (head)     0.62 W/kg (body)    ,,,,1.40 W/kg (head)     1.59 W/kg (body)    ,Non-removable Li-Ion 3000 mAh battery,,Up to 62 h,,,,,,"LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 12(700), 13(700), 17(700), 18(800), 19(800), 20(800), 25(1900), 29(700), 30(2300), 38(2600), 39(1900), 40(2300), 41(2500) - G930W8",Up to 22 h (3G),
hero2qlteatt,samsung,Samsung,Galaxy S7 edge,hero2qlteatt,Samsung,Galaxy S7 edge,GSM / HSPA / LTE,"GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 - G935FD, G9350",Yes,Yes,"2016, February","Available. Released 2016, March",150.9 x 72.6 x 7.7 mm (5.94 x 2.86 x 0.30 in),157 g (5.54 oz),"Single SIM (Nano-SIM) - G935F, G935W8Hybrid Dual SIM (Nano-SIM, dual stand-by) - G935FD","Super AMOLED capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm (~76.1% screen-to-body ratio)","1440 x 2560 pixels, 16:9 ratio (~534 ppi density)",Always-on display,"microSD, up to 512 GB (uses shared SIM slot) - dual SIM model only",,,Yes,,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","4.2, A2DP, LE, aptX","Yes, with A-GPS, GLONASS, BDS",No,"microUSB 2.0, USB Host","Fingerprint (front-mounted), accelerometer, gyro, proximity, compass, barometer, heart rate, SpO2",,,,,,,ANT+  S-Voice natural language commands and dictation,"Black, White, Gold, Silver, Pink Gold, Black Pearl, Coral Blue","HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 - G935F, G935FD, G935W8","HSPA 42.2/5.76 Mbps, LTE-A (3CA) Cat9 450/50 Mbps","Android 6.0 (Marshmallow), upgradable to Android 8.0 (Oreo); TouchWiz UI","Qualcomm MSM8996 Snapdragon 820 (14 nm) - G9350Exynos 8890 Octa (14 nm) - G935FD, G935F, G935W8","Quad-core (2x2.15 GHz Kryo & 2x1.6 GHz Kryo) - G9350Octa-core (4x2.3 GHz Mongoose & 4x1.6 GHz Cortex-A53) - G935FD, G935F, G935W8","Adreno 530 - G9350Mali-T880 MP12 - G935FD, G935F, G935W8","32/64/128 GB, 4 GB RAM","12 MP, f/1.7, 26mm (wide), 1/2.55"", 1.4µm, OIS, dual pixel PDAF","2160p@30fps, 1080p@60fps, 720p@240fps, HDR, dual-video rec.",About 400 EUR,"LED flash, auto-HDR, panorama","Samsung Pay (Visa, MasterCard certified)  IP68 dust/water proof (up to 1.5m for 30 mins)","LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 12(700), 13(700), 17(700), 18(800), 19(800), 20(800), 25(1900), 26(850), 28(700), 38(2600), 39(1900), 40(2300), 41(2500) - G935F, G935FD","Front/back glass (Gorilla Glass 4), aluminum frame",Corning Gorilla Glass 4,,,,"Dual video call, Auto-HDR",,Yes,Fast battery charging 15W (Quick Charge 2.0)  Qi/PMA wireless charging (market dependent),"SM-G935F, SM-G935FD, SM-G935W8, SM-G9350, SM-G935S, SC-02H, SM-G935K, SM-G935L",Basemark OS II: 2107 / Basemark OS II 2.0: 2050Basemark X: 28480,Photo / Video,Voice 70dB / Noise 69dB / Ring 71dB,Noise -92.5dB / Crosstalk -92.2dB,Endurance rating 92h,"Contrast ratio: Infinite (nominal), 4.439 (sunlight)","5 MP, f/1.7, 22mm (wide), 1/4.1"", 1.34µm",,,,,24-bit/192kHz audio  Active noise cancellation with dedicated mic,0.26 W/kg (head)     0.51 W/kg (body)    ,,,,1.17 W/kg (head)     1.59 W/kg (body)    ,Non-removable Li-Ion 3600 mAh battery,,Up to 74 h,,,,,,"LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 12(700), 13(700), 17(700), 18(800), 19(800), 20(800), 25(1900), 29(700), 30(2300), 38(2600), 39(1900), 40(2300), 41(2500) - G935W8",Up to 27 h (3G),
iris80,LAVA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"iPhone9,3",Apple,Apple,iPhone 7,"iPhone9,3",Apple,iPhone 7,GSM / CDMA / HSPA / EVDO / LTE,"GSM 850 / 900 / 1800 / 1900 - A1660, A1778",Yes,Yes,"2016, September","Available. Released 2016, September",138.3 x 67.1 x 7.1 mm (5.44 x 2.64 x 0.28 in),138 g (4.87 oz),Nano-SIM,"IPS LCD capacitive touchscreen, 16M colors","4.7 inches, 60.9 cm (~65.6% screen-to-body ratio)","750 x 1334 pixels, 16:9 ratio (~326 ppi density)",Wide color gamut  3D Touch display & home button,No,,,"Yes, with stereo speakers",,No,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, hotspot","4.2, A2DP, LE","Yes, with A-GPS, GLONASS, GALILEO, QZSS",No,"2.0, proprietary reversible connector","Fingerprint (front-mounted), accelerometer, gyro, proximity, compass, barometer",,,,,,,Siri natural language commands and dictation,"Jet Black, Black, Silver, Gold, Rose Gold, Red","HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 - A1660, A1778","HSPA 42.2/5.76 Mbps, LTE-A (3CA) Cat9 450/50 Mbps, EV-DO Rev.A 3.1 Mbps","iOS 10.0.1, upgradable to iOS 12.2",Apple A10 Fusion (16 nm),Quad-core 2.34 GHz (2x Hurricane + 2x Zephyr),PowerVR Series7XT Plus (six-core graphics),"32/128/256 GB, 2 GB RAM","12 MP, f/1.8, 28mm (wide), 1/3"", OIS, PDAF","2160p@30fps, 1080p@30/60/120fps, 720p@240fps",About 550 EUR,"Quad-LED dual-tone flash, HDR","IP67 dust/water resistant (up to 1m for 30 mins)  Apple Pay (Visa, MasterCard, AMEX certified)","LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 12(700), 13(700), 17(700), 18(800), 19(800), 20(800), 25(1900), 26(850), 27(800), 28(700), 29(700), 30(2300), 38(2600), 39(1900), 40(2300), 41(2500) - A1660, A1778","Front glass, aluminum body","Ion-strengthened glass, oleophobic coating",,,,"Face detection, HDR, panorama",1080p@30fps,Yes,,,Basemark OS II 2.0: 3416,Photo / Video,Voice 67dB / Noise 73dB / Ring 75dB,Noise -92.4dB / Crosstalk -80.9dB,Endurance rating 61h,"Contrast ratio: 1603:1 (nominal), 3.964 (sunlight)","7 MP, f/2.2, 32mm (standard)",,,,,Active noise cancellation with dedicated mic,1.38 W/kg (head)     1.34 W/kg (body)    ,,,,1.19 W/kg (head)     1.19 W/kg (body)    ,Non-removable Li-Ion 1960 mAh battery (7.45 Wh),,Up to 40 h,,,,,,CDMA2000 1xEV-DO & TD-SCDMA - A1660,Up to 14 h (3G),
ASUS_L001_2,asus,Asus,Zenfone Go ZB690KG,ASUS_L001_2,Asus,Zenfone Go ZB690KG,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,Yes,Yes,"2016, December","Available. Released 2016, December",188 x 101.4 x 8.9 mm (7.40 x 3.99 x 0.35 in),270 g (9.52 oz),"Dual SIM (Micro-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.9 inches, 134.0 cm (~70.3% screen-to-body ratio)","600 x 1024 pixels, 16:9 ratio (~172 ppi density)",,"microSD, up to 256 GB (dedicated slot)",,,Yes,,Yes,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Yes, with A-GPS, GLONASS, BDS",No,microUSB 2.0,"Accelerometer, proximity, compass",,,,,,,,"Glacier Grey, Pearl White",HSDPA 850 / 900 / 1900 / 2100,HSPA,Android 5.1 (Lollipop),,Quad-core,,"8 GB, 1 GB RAM","5 MP or 8 MP, f/2.0, AF",1080p@30fps,About 120 EUR,"LED flash, HDR",,,,,,,,,,,,,,,,,,,2 MP,,,,,Active noise cancellation with dedicated mic,,,,,,Non-removable Li-Ion 3480 mAh battery,,,,,,,,,Up to 20 h (3G),Up to 735 h (3G)
angler,google,Huawei,Nexus 6P,angler,Huawei,Nexus 6P,GSM / CDMA / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - all models,Yes,Yes,"2015, September","Available. Released 2015, September",159.3 x 77.8 x 7.3 mm (6.27 x 3.06 x 0.29 in),178 g (6.28 oz),Nano-SIM,"OLED capacitive touchscreen, 16M colors","5.7 inches, 88.5 cm (~71.4% screen-to-body ratio)","1440 x 2560 pixels, 16:9 ratio (~518 ppi density)",,No,,,"Yes, with front stereo speakers",,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, DLNA, hotspot","4.2, A2DP, LE","Yes, with A-GPS, GLONASS",No,"2.0, Type-C 1.0 reversible connector","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass, barometer",,,,,,,,"Aluminium, Graphite, Frost",HSDPA 800 / 850 / 900 / 1700 / 1800 / 1900 / 2100 - Global model,"HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat6 300/50 Mbps","Android 6.0 (Marshmallow), upgradable to Android 8.0 (Oreo)",Qualcomm MSM8994 Snapdragon 810 (20 nm),Octa-core (4x1.55 GHz Cortex-A53 & 4x2.0 GHz Cortex-A57),Adreno 430,"32/64/128 GB, 3 GB RAM","12.3 MP, f/2.0, 1/2.3"", 1.55µm, laser AF","2160p@30fps, 720p@240fps",About 300 EUR,"Dual-LED dual-tone flash, HDR, panorama",,"LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 9(1800), 17(700), 19(800), 20(800), 28(700), 38(2600), 39(1900), 40(2300), 41(2500) - Global model","Front glass, aluminum body","Corning Gorilla Glass 4, oleophobic coating",,,,,1080p@30fps,Yes,Fast battery charging 10W,Nexus 6P,Basemark OS II: 1399 / Basemark OS II 2.0: 1374Basemark X: 22825,Photo / Video,,,Endurance rating 74h,,"8 MP, f/2.4",,,,,24-bit/96kHz  Active noise cancellation with dedicated mic,1.17 W/kg (head)     0.54 W/kg (body)    ,,,,1.49 W/kg (head)     0.81 W/kg (body)    ,Non-removable Li-Po 3450 mAh battery,,Up to 100 h,,,,,,"LTE band 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 12(700), 13(700), 17(700), 25(1900), 26(850), 29(700), 30(2300), 41(2500) - American model",Up to 23 h (3G),Up to 440 h (3G)
espresso10rf,samsung,Samsung,Galaxy Tab 2 10.1 P5100,espresso10rf,Samsung,Galaxy Tab 2 10.1 P5100,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,Yes,Yes,"2012, February. Released 2012, May",Discontinued,256.6 x 175.3 x 9.7 mm (10.10 x 6.90 x 0.38 in),588 g (1.30 lb),Mini-SIM,"PLS TFT capacitive touchscreen, 16M colors","10.1 inches, 295.8 cm (~65.8% screen-to-body ratio)","800 x 1280 pixels, 16:10 ratio (~149 ppi density)",,"microSD, up to 32 GB (dedicated slot)",,,"Yes, with stereo speakers",,Yes,"Wi-Fi 802.11 a/b/g/n, dual-band, Wi-Fi Direct, hotspot","3.0, A2DP","Yes, with A-GPS, GLONASS",No,"2.0, USB Host","Accelerometer, gyro, compass",,,,,,,TV-out,"Black, White",HSDPA 850 / 900 / 1900 / 2100,HSPA 21.1/5.76 Mbps,"Android 4.0.3 (Ice Cream Sandwich), upgradable to 4.1 (Jelly Bean); TouchWiz UX UI",TI OMAP 4430,Dual-core 1.0 GHz Cortex-A9,PowerVR SGX540,"16/32 GB, 1 GB RAM",3.15 MP,720p,About 290 EUR,,,,,Corning Gorilla Glass,,,,,,,,,,,,,,,VGA,,,,,,0.99 W/kg (body)    ,,,,1.34 W/kg (body)    ,Non-removable Li-Po 7000 mAh battery,,,,,,,,,Up to 10 h,Up to 2000 h
